date,coin,open,high,low,close,volume,tweet_count,avg_score,pct_positive,pct_negative,pct_neutral,sentiment_gap,vader_mean,vader_std,vader_pos_mean,vader_neg_mean,sentiment_7d_avg,sentiment_7d_std,sentiment_momentum,volume_7d_avg,price_return,price_7d_volatility,price_7d_momentum
2019-12-12,BTC,7216.73876953125,7266.6396484375,7164.7412109375,7243.13427734375,18927080224,2,2.0,0.0,0.0,1.0,False,0.6638,0.008202438661763872,0.116,0.0,2.0,0.0,,2.0,,0.0,
2019-12-13,BTC,7244.662109375,7293.560546875,7227.12255859375,7269.6845703125,17125736940,0,2.0,0.0,0.0,1.0,True,,,,,2.0,0.0,0.0,1.0,0.0036655806660659263,0.0,
2019-12-14,BTC,7268.90283203125,7308.83642578125,7097.208984375,7124.673828125,17137029730,0,2.0,0.0,0.0,1.0,True,,,,,2.0,0.0,0.0,0.6666666666666666,-0.01994732244362929,0.016696843912366404,
2019-12-15,BTC,7124.23974609375,7181.07568359375,6924.3759765625,7152.3017578125,16881129804,0,2.0,0.0,0.0,1.0,True,,,,,2.0,0.0,0.0,0.5,0.003877781685729609,0.013694584144321401,
2019-12-16,BTC,7153.6630859375,7171.1689453125,6903.6826171875,6932.48046875,20213265950,0,,,,,True,,,,,2.0,0.0,,0.4,-0.030734342104957735,0.017375661623958233,
2019-12-17,BTC,6931.3154296875,6964.0751953125,6587.97412109375,6640.51513671875,22363804217,0,,,,,True,,,,,2.0,0.0,,0.3333333333333333,-0.04211556503438585,0.020561162250148046,
2019-12-18,BTC,6647.6982421875,7324.98486328125,6540.04931640625,7276.802734375,31836522778,0,,,,,True,,,,,2.0,0.0,,0.2857142857142857,0.0958190117115909,0.04961324266823504,
2019-12-19,BTC,7277.5908203125,7346.6025390625,7041.3818359375,7202.84423828125,25904604416,0,,,,,True,,,,,2.0,0.0,,0.0,-0.010163597776861044,0.04551418943360223,-0.005562514447443823
2019-12-20,BTC,7208.63671875,7257.921875,7086.1240234375,7218.81640625,22633815180,2,3.0,1.0,0.0,0.0,False,-0.20879999999999999,0.6816509370638317,0.058,0.1035,2.3333333333333335,0.5773502691896257,,0.2857142857142857,0.0022174806840695727,0.045498344190241014,-0.006997300030077258
2019-12-21,BTC,7220.59375,7223.22607421875,7112.73583984375,7191.15869140625,19312552168,0,3.0,1.0,0.0,0.0,True,,,,,2.6666666666666665,0.5773502691896257,0.0,0.2857142857142857,-0.0038313365082680573,0.04473085207549769,0.009331636069962679
2019-12-22,BTC,7191.1884765625,7518.033203125,7167.17919921875,7511.5888671875,23134537956,0,3.0,1.0,0.0,0.0,True,,,,,3.0,0.0,0.0,0.2857142857142857,0.0445589076158448,0.047546428379318044,0.050233773901184886
2019-12-23,BTC,7508.90234375,7656.17626953125,7326.1923828125,7355.62841796875,27831788041,0,3.0,1.0,0.0,0.0,True,,,,,3.0,0.0,0.0,0.2857142857142857,-0.020762644491902904,0.04632749953241498,0.06103846251369949
